step,energy
0,-2756.1600000000
1,-2756.1600000000
2,-2756.1600000000
3,-2756.1600000000
4,-2756.1600000000
5,-2756.1600000000
6,-2756.1600000000
7,-2756.1600000000
8,-2756.1600000000
9,-2756.1600000000
10,-2756.1600000000
11,-2756.1600000000
12,-2756.1600000000
13,-2756.1600000000
14,-2756.1600000000
15,-2756.1600000000
16,-2756.1600000000
17,-2756.1600000000
18,-2756.1600000000
19,-2756.1600000000
20,-2756.1600000000
21,-2756.1600000000
22,-2756.1600000000
23,-2756.1600000000
24,-2756.1600000000
25,-2756.1600000000
26,-2756.1600000000
27,-2756.1600000000
28,-2756.1600000000
29,-2756.1600000000
30,-2756.1600000000
31,-2756.1600000000
32,-2756.1600000000
33,-2756.1600000000
34,-2756.1600000000
35,-2756.1600000000
36,-2756.1600000000
37,-2756.1600000000
38,-2756.1600000000
39,-2756.1600000000
40,-2756.1600000000
41,-2756.1600000000
42,-2756.1600000000
43,-2756.1600000000
44,-2756.1600000000
45,-2756.1600000000
46,-2756.1600000000
47,-2756.1600000000
48,-2756.1600000000
49,-2756.1600000000
50,-2756.1600000000
51,-2756.1600000000
52,-2756.1600000000
53,-2756.1600000000
54,-2756.1600000000
55,-2756.1600000000
56,-2756.1600000000
57,-2756.1600000000
58,-2756.1600000000
59,-2756.1600000000
60,-2756.1600000000
61,-2756.1600000000
62,-2756.1600000000
63,-2756.1600000000
64,-2756.1600000000
65,-2756.1600000000
66,-2756.1600000000
67,-2756.1600000000
68,-2756.1600000000
69,-2756.1600000000
70,-2756.1600000000
71,-2756.1600000000
72,-2756.1600000000
73,-2756.1600000000
74,-2756.1600000000
75,-2756.1600000000
76,-2756.1600000000
77,-2756.1600000000
78,-2756.1600000000
79,-2756.1600000000
80,-2756.1600000000
81,-2756.1600000000
82,-2756.1600000000
83,-2756.1600000000
84,-2756.1600000000
85,-2756.1600000000
86,-2756.1600000000
87,-2756.1600000000
88,-2756.1600000000
89,-2756.1600000000
90,-2756.1600000000
91,-2756.1600000000
92,-2756.1600000000
93,-2756.1600000000
94,-2756.1600000000
95,-2756.1600000000
96,-2756.1600000000
97,-2756.1600000000
98,-2756.1600000000
99,-2756.1600000000
100,-2756.1600000000
101,-2756.1600000000
102,-2756.1600000000
103,-2756.1600000000
104,-2756.1600000000
105,-2756.1600000000
106,-2756.1600000000
107,-2756.1600000000
108,-2756.1600000000
109,-2756.1600000000
110,-2756.1600000000
111,-2756.1600000000
112,-2756.1600000000
113,-2756.1600000000
114,-2756.1600000000
115,-2756.1600000000
116,-2756.1600000000
117,-2756.1600000000
118,-2756.1600000000
119,-2756.1600000000
120,-2756.1600000000
121,-2756.1600000000
122,-2756.1600000000
123,-2756.1600000000
124,-2756.1600000000
125,-2756.1600000000
126,-2756.1600000000
127,-2756.1600000000
128,-2756.1600000000
129,-2756.1600000000
130,-2756.1600000000
131,-2756.1600000000
132,-2756.1600000000
133,-2756.1600000000
134,-2756.1600000000
135,-2756.1600000000
136,-2756.1600000000
137,-2756.1600000000
138,-2756.1600000000
139,-2756.1600000000
140,-2756.1600000000
141,-2756.1600000000
142,-2756.1600000000
143,-2756.1600000000
144,-2756.1600000000
145,-2756.1600000000
146,-2756.1600000000
147,-2756.1600000000
148,-2756.1600000000
149,-2756.1600000000
150,-2756.1600000000
151,-2756.1600000000
152,-2756.1600000000
153,-2756.1600000000
154,-2756.1600000000
155,-2756.1600000000
156,-2756.1600000000
157,-2756.1600000000
158,-2756.1600000000
159,-2756.1600000000
160,-2756.1600000000
161,-2756.1600000000
162,-2756.1600000000
163,-2756.1600000000
164,-2756.1600000000
165,-2756.1600000000
166,-2756.1600000000
167,-2756.1600000000
168,-2756.1600000000
169,-2756.1600000000
170,-2756.1600000000
171,-2756.1600000000
172,-2756.1600000000
173,-2756.1600000000
174,-2756.1600000000
175,-2756.1600000000
176,-2756.1600000000
177,-2756.1600000000
178,-2756.1600000000
179,-2756.1600000000
180,-2756.1600000000
181,-2756.1600000000
182,-2756.1600000000
183,-2756.1600000000
184,-2756.1600000000
185,-2756.1600000000
186,-2756.1600000000
187,-2756.1600000000
188,-2756.1600000000
189,-2756.1600000000
190,-2756.1600000000
191,-2756.1600000000
192,-2756.1600000000
193,-2756.1600000000
194,-2756.1600000000
195,-2756.1600000000
196,-2756.1600000000
197,-2756.1600000000
198,-2756.1600000000
199,-2756.1600000000
200,-2756.1600000000
201,-2756.1600000000
202,-2756.1600000000
203,-2756.1600000000
204,-2756.1600000000
205,-2756.1600000000
206,-2756.1600000000
207,-2756.1600000000
208,-2756.1600000000
209,-2756.1600000000
210,-2756.1600000000
211,-2756.1600000000
212,-2756.1600000000
213,-2756.1600000000
214,-2756.1600000000
215,-2756.1600000000
216,-2756.1600000000
217,-2756.1600000000
218,-2756.1600000000
219,-2756.1600000000
220,-2756.1600000000
221,-2756.1600000000
222,-2756.1600000000
223,-2756.1600000000
224,-2756.1600000000
225,-2756.1600000000
226,-2756.1600000000
227,-2756.1600000000
228,-2756.1600000000
229,-2756.1600000000
230,-2756.1600000000
231,-2756.1600000000
232,-2756.1600000000
233,-2756.1600000000
234,-2756.1600000000
235,-2756.1600000000
236,-2756.1600000000
237,-2756.1600000000
238,-2756.1600000000
239,-2756.1600000000
240,-2756.1600000000
241,-2756.1600000000
242,-2756.1600000000
243,-2756.1600000000
244,-2756.1600000000
245,-2756.1600000000
246,-2756.1600000000
247,-2756.1600000000
