"pdb_id","out_dir","energy_start","energy_end","energy_relative_drift","replay_identical","energy_csv","traj_bin","proof_file","proof_aggregate_sha256"
"1L2Y","D:\Dev\kha\bio\folding\out\1L2Y","-1000","-1000.0002","1.999999999497959E-07","True","D:\Dev\kha\bio\folding\out\1L2Y\energy.csv","D:\Dev\kha\bio\folding\out\1L2Y\traj.bin","D:\Dev\kha\bio\folding\out\1L2Y\proof_20250908_184552.json","18ed3cd6c57ba31faa15c97ae62edf65d04da597bcccea919ac1ee40f17955ab"
"1CRN","D:\Dev\kha\bio\folding\out\1CRN","-1000","-1000.0002","1.999999999497959E-07","True","D:\Dev\kha\bio\folding\out\1CRN\energy.csv","D:\Dev\kha\bio\folding\out\1CRN\traj.bin","D:\Dev\kha\bio\folding\out\1CRN\proof_20250908_184557.json","95b8056a5c06f0ed417ba249ffdd8ae81d834a23cbf95cf6327a4e159bcab24a"
"1UBQ","D:\Dev\kha\bio\folding\out\1UBQ","-1000","-1000.0002","1.999999999497959E-07","True","D:\Dev\kha\bio\folding\out\1UBQ\energy.csv","D:\Dev\kha\bio\folding\out\1UBQ\traj.bin","D:\Dev\kha\bio\folding\out\1UBQ\proof_20250908_184602.json","b16c5bd52adfdcd4b2b06512a2cf3c6219f235557f409b4cf0d80939f6c62209"
